Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionOpenSince,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c
1,c,a,1270.0,9.0,2008.0,0,,,,2008-09-01,0,0,1,0,1,0,0
2,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2007-11-01,1,0,0,0,1,0,0
3,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2006-12-01,1,0,0,0,1,0,0
4,c,c,620.0,9.0,2009.0,0,,,,2009-09-01,0,0,1,0,0,0,1
5,a,a,29910.0,4.0,2015.0,0,,,,2015-04-01,1,0,0,0,1,0,0
6,a,a,310.0,12.0,2013.0,0,,,,2013-12-01,1,0,0,0,1,0,0
7,a,c,24000.0,4.0,2013.0,0,,,,2013-04-01,1,0,0,0,0,0,1
8,a,a,7520.0,10.0,2014.0,0,,,,2014-10-01,1,0,0,0,1,0,0
9,a,c,2030.0,8.0,2000.0,0,,,,2000-08-01,1,0,0,0,0,0,1
10,a,a,3160.0,9.0,2009.0,0,,,,2009-09-01,1,0,0,0,1,0,0
11,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2011-11-01,1,0,0,0,0,0,1
12,a,c,1070.0,12.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2012-12-01,1,0,0,0,0,0,1
13,d,a,310.0,12.0,2012.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2012-12-01,0,0,0,1,1,0,0
14,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2014-03-01,1,0,0,0,1,0,0
15,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2010-03-01,0,0,0,1,0,0,1
16,a,c,3270.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,0,0,1
17,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct",2005-12-01,1,0,0,0,1,0,0
18,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",2010-06-01,0,0,0,1,0,0,1
19,a,c,3240.0,12.0,2012.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec",2012-12-01,1,0,0,0,0,0,1
20,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2009-05-01,0,0,0,1,1,0,0
21,c,c,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct",1999-10-01,0,0,1,0,0,0,1
22,a,a,1040.0,12.0,2012.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",2012-12-01,1,0,0,0,1,0,0
23,d,a,4060.0,8.0,2005.0,0,,,,2005-08-01,0,0,0,1,1,0,0
24,a,c,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2000-03-01,1,0,0,0,0,0,1
25,c,a,430.0,4.0,2003.0,0,,,,2003-04-01,0,0,1,0,1,0,0
26,d,a,2300.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,1,0,0
27,a,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct",2005-01-01,1,0,0,0,1,0,0
28,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec",2014-10-01,1,0,0,0,1,0,0
29,d,c,2170.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,0,0,1
30,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2014-02-01,1,0,0,0,1,0,0
31,d,c,9800.0,7.0,2012.0,0,,,,2012-07-01,0,0,0,1,0,0,1
32,a,a,2910.0,12.0,2012.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2012-12-01,1,0,0,0,1,0,0
33,a,c,1320.0,5.0,2013.0,0,,,,2013-05-01,1,0,0,0,0,0,1
34,c,a,2240.0,9.0,2009.0,0,,,,2009-09-01,0,0,1,0,1,0,0
35,d,c,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2000-10-01,0,0,0,1,0,0,1
36,a,c,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2003-06-01,1,0,0,0,0,0,1
37,c,a,4230.0,12.0,2014.0,0,,,,2014-12-01,0,0,1,0,1,0,0
38,d,a,1090.0,4.0,2007.0,0,,,,2007-04-01,0,0,0,1,1,0,0
39,a,a,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov",2006-10-01,1,0,0,0,1,0,0
40,a,a,180.0,12.0,2012.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2012-12-01,1,0,0,0,1,0,0
41,d,c,1180.0,12.0,2012.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,0,1,0,0,1
42,a,c,290.0,12.0,2012.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2012-12-01,1,0,0,0,0,0,1
43,d,a,4880.0,12.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,0,1,1,0,0
44,a,a,540.0,6.0,2011.0,0,,,,2011-06-01,1,0,0,0,1,0,0
45,d,a,9710.0,2.0,2014.0,0,,,,2014-02-01,0,0,0,1,1,0,0
46,c,a,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2005-09-01,0,0,1,0,1,0,0
47,a,c,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",2013-04-01,1,0,0,0,0,0,1
48,a,a,1060.0,5.0,2012.0,0,,,,2012-05-01,1,0,0,0,1,0,0
49,d,c,18010.0,9.0,2007.0,0,,,,2007-09-01,0,0,0,1,0,0,1
50,d,a,6260.0,11.0,2009.0,0,,,,2009-11-01,0,0,0,1,1,0,0
51,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",2013-07-01,1,0,0,0,0,0,1
52,d,c,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct",2014-04-01,0,0,0,1,0,0,1
53,a,c,30360.0,9.0,2013.0,0,,,,2013-09-01,1,0,0,0,0,0,1
54,d,c,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2014-08-01,0,0,0,1,0,0,1
55,a,a,720.0,11.0,2004.0,0,,,,2004-11-01,1,0,0,0,1,0,0
56,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2012-03-01,0,0,0,1,0,0,1
57,d,c,420.0,6.0,2014.0,0,,,,2014-06-01,0,0,0,1,0,0,1
58,a,c,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",2008-05-01,1,0,0,0,0,0,1
59,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2007-06-01,1,0,0,0,0,0,1
60,d,c,5540.0,10.0,2009.0,0,,,,2009-10-01,0,0,0,1,0,0,1
61,a,c,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2007-12-01,1,0,0,0,0,0,1
62,a,a,2050.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
63,c,c,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",2010-06-01,0,0,1,0,0,0,1
64,d,c,22560.0,12.0,2012.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,0,1,0,0,1
65,a,c,13840.0,5.0,2010.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2010-05-01,1,0,0,0,0,0,1
66,d,a,7660.0,12.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,0,1,1,0,0
67,a,c,410.0,2.0,2006.0,0,,,,2006-02-01,1,0,0,0,0,0,1
68,a,c,250.0,12.0,2012.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec",2012-12-01,1,0,0,0,0,0,1
69,c,c,1130.0,12.0,2012.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,1,0,0,0,1
70,c,c,4840.0,12.0,2012.0,0,,,,2012-12-01,0,0,1,0,0,0,1
71,a,a,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec",2008-08-01,1,0,0,0,1,0,0
72,a,a,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2009-12-01,1,0,0,0,1,0,0
73,a,c,1650.0,9.0,2008.0,0,,,,2008-09-01,1,0,0,0,0,0,1
74,a,a,330.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
75,d,c,22440.0,12.0,2013.0,0,,,,2013-12-01,0,0,0,1,0,0,1
76,d,c,19960.0,3.0,2006.0,0,,,,2006-03-01,0,0,0,1,0,0,1
77,d,c,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct",2009-08-01,0,0,0,1,0,0,1
78,a,a,3510.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2006-11-01,1,0,0,0,1,0,0
79,a,a,3320.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
80,d,a,7910.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,1,0,0
81,a,a,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2011-03-01,1,0,0,0,1,0,0
82,a,a,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2008-04-01,1,0,0,0,1,0,0
83,a,a,2710.0,12.0,2012.0,0,,,,2012-12-01,1,0,0,0,1,0,0
84,a,c,11810.0,8.0,2014.0,0,,,,2014-08-01,1,0,0,0,0,0,1
85,b,a,1870.0,10.0,2011.0,0,,,,2011-10-01,0,1,0,0,1,0,0
86,a,a,480.0,2.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2005-02-01,1,0,0,0,1,0,0
87,a,a,560.0,12.0,2010.0,0,,,,2010-12-01,1,0,0,0,1,0,0
88,a,a,10690.0,10.0,2005.0,0,,,,2005-10-01,1,0,0,0,1,0,0
89,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2004-07-01,1,0,0,0,1,0,0
90,a,a,330.0,11.0,2007.0,0,,,,2007-11-01,1,0,0,0,1,0,0
91,c,a,2410.0,12.0,2012.0,1,35.0,2011.0,"Jan,Apr,Jul,Oct",2012-12-01,0,0,1,0,1,0,0
92,c,a,240.0,12.0,2012.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2012-12-01,0,0,1,0,1,0,0
93,a,a,16690.0,12.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2012-12-01,1,0,0,0,1,0,0
94,d,c,14620.0,12.0,2012.0,0,,,,2012-12-01,0,0,0,1,0,0,1
95,a,a,1890.0,10.0,2014.0,0,,,,2014-10-01,1,0,0,0,1,0,0
96,a,a,8780.0,2.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2005-02-01,1,0,0,0,1,0,0
